firstname,lastname,avg_rating
Melissa,Larabee,5
Salvador,Victor,4.2
Feng,Liang,3.5
Kristin,Hoganson,3
Elena,Boiarskaia,1
Charles,Rezk,3
Erin,Castro,3
Angus,Rockett,2
Jont,Allen,4
Luke,Godwin-Jones,4.5
Lilya,Kaganovsky,4
Inger,Stole,1
Kevin,Reeder,4.5714
Arif,Masud,3
Astrid,Runggaldier,4
Stephen,Cartwright,5
Ali,Bazzi,5
Julie,Patterson,5
Silvia,Kunitz,2
Nicholas,Watanabe,4.5
Joseph,Manfredo,5
Henrique,Reis,2.5
Martin,Gruebele,4.7273
Joyce,Allen-Smith,1
Kimberly,Fonzo,5
Youngsoo,Kim,2.6667
Janet,Gaffney,1
Dean,Riechers,3
Stephen,Altaner,4.25
Barry,Pittendrigh,3
Jeehyeon,Seo,3
Gail,Hapke,4
Robert,Jenkins,5
Gholamreza,Mesri,5
Steven,Lauterburg,2.6
Magdi,Ragheb,4.1667
Alice,McCormack,3.5
Jennifer,Weber,1
Tom,Boynton,4
Elizabeth,Reutter,5
Eyal,Amir,2
Yue,Li,3.5
Terri,Cummings,5
Alexandra,Mobley,1
Fedja,Buric,1
Jonathan,Hollis,5
Tony,Grift,3
Haiyan,Lin,5
Susan,Larson,3
John,Musser,4.6667
Adele,Pacquette,4.3333
Justin,Davidson,4.5
Jennifer,Cravens,4
Saurabh,Sinha,1
David,O'Brien,4
Caitlin,Clarke,4.8
Maggie,Kainulainen,3.6667
Mats,Selen,4.4634
Steven,Anderson,3
Ankit,Saharan,5
Ashwini,Chhatre,3
Brent,Hart,3.25
Jamie,O'Connor,5
Stacey,Korson,1
Ken,Salo,1
Oleksandra,Wallo,2
Qing,Wang,1.5
Gregory,Webb,5
Michael,Koerner,4.625
Zsuzsa,Gille,5
A.,Hildebrand,4
Chih,Liu,4
Grant,Lewis,4
Timothy,Bowers,4
David,Nicol,3
Kyekyoon,Kim,3.3333
Tyran,Russell,2.6667
Andrew,Meyer,5
Sarah,Sullivan,4.8333
Igor,Cunha,5
Eric,Oldfield,4
Jose,Hualde,2
Thomas,Vance,4
Richelle,Bernazzoli,3
Dexter,Arnold,1
Shywon,Berry,1
Matthew,Marcinkowski,3.1429
Mark,Roszkowski,3.25
Bradley,Cosentino,4
Elyse,Vigiletti,5
Julie,Cidell,5
Doug,Owens,2
Pamela,Hadley,4.3333
Harry,Wildblood,3
Stefan,Mueller,3
Hailan,Zhou,4
Numa,Markee,1
Santanu,Chakraborty,2
Grant,Shoffstall,5
Taekjip,Ha,3.5
Richard,Mintel,3.4
Duane,Watson,3
Andrew,Merrill,1
James,Salvo,5
Michael,Dyer,2.6667
Kenneth,Chapman,3.4444
Jonathan,Tullis,5
Eric,Tanyavutti,3
P.,Kumar,5
Erik,Hemingway,5
Haymon-Coleman,,4
Ga-Young,Choi,3
Alonzo,Ward,2.5
Andrew,Leakey,3.75
Fred,Stoltzfus,4
Adrian,Burgos,5
Nick,Glumac,3.7273
Minseok,Jang,1
James,Stubbins,4.25
Peter,Silhan,2.0769
Michel,Bellini,4.4
Alex,Kirlik,1
Andrew,Bauer,4
Cristina,Zapata,3.6667
Ryan,Jones,3
William,Morgan,4
Indranil,Gupta,5
Jeffrey,Carlson,4.5
Gurumurthi,,2
Marian,Stone,5
Michael,Scoville,2
Hatun,Zengin,4.5
Dustin,Lange,4.75
Erin,Whitteck,2.9231
Li,Tan,4
John,Lambros,4.5
David,Goodman,3.25
Jeffrey,Castle,5
Khaled,El-Rayes,5
Eun,Lim,2
Jason,McCarley,4
Robin,Douglas,4
David,Tewksbury,4.5
Diloa,Bailey,5
Edward,Sellers,5
John,Mackay,3.5
Richard,Anderson,5
Joseph,Rosenblatt,2.375
Kenneth,Olson,2
Narjes,Tavoosi,5
Elaine,Wood,5
Vaibhav,Gadre,1
Salim,Rashid,4
Barry,Ackerson,5
Eric,Drollette,2
Julie,Dowling,4
William,Bullock,3
Christine,DeLisle,4
Esther,Lee,5
Muhammad,Al-Faruque,5
Eugene,Avrutin,3.5
Andrea,Golato,5
Carla,Rosell,1
Izaskun,Indacoechea,5
